observationID,directory,source,location_name,location_type,collected_on,medium,unit,variable_name,variable_desc,value,traits
1,usgs,USGS,"36.4526,-109.1665",point,9/18/13,soil,wt. %,al,{concentration of elemental aluminium in soil},3.68,http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/PATO_0002182|http://purl.obolibrary.org/obo/SRPDIO_1000046|http://purl.obolibrary.org/obo/SRPDIO_1000000|http://purl.obolibrary.org/obo/PATO_0000033|http://purl.obolibrary.org/obo/PATO_0000001|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000019|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/PATO_0001241
2,usgs,USGS,"36.4526,-109.1665",point,9/18/13,soil,mg/kg,as,{concentration of elemental arsenic in soil},1.7,http://purl.obolibrary.org/obo/PATO_0000001|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/SRPDIO_1000002|http://purl.obolibrary.org/obo/SRPDIO_1000048|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/PATO_0000033|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/BFO_0000019|http://purl.obolibrary.org/obo/PATO_0001241|http://purl.obolibrary.org/obo/PATO_0002182
3,usgs,USGS,"36.4526,-109.1665",point,9/18/13,soil,mg/kg,ba,{concentration of elemental barium in soil},907.0,http://purl.obolibrary.org/obo/BFO_0000019|http://purl.obolibrary.org/obo/PATO_0000001|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/PATO_0000033|http://purl.obolibrary.org/obo/PATO_0002182|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/PATO_0001241|http://purl.obolibrary.org/obo/SRPDIO_1000003|http://purl.obolibrary.org/obo/SRPDIO_1000049
4,usgs,USGS,"36.4526,-109.1665",point,9/18/13,soil,mg/kg,be,{concentration of elemental beryllium in soil},1.0,http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/PATO_0000033|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/SRPDIO_1000050|http://purl.obolibrary.org/obo/BFO_0000019|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/SRPDIO_1000004|http://purl.obolibrary.org/obo/PATO_0001241|http://purl.obolibrary.org/obo/PATO_0002182|http://purl.obolibrary.org/obo/PATO_0000001
5,usgs,USGS,"36.4526,-109.1665",point,9/18/13,soil,mg/kg,bi,{concentration of elemental bismuth in soil},0.08,http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/PATO_0001241|http://purl.obolibrary.org/obo/SRPDIO_1000051|http://purl.obolibrary.org/obo/BFO_0000019|http://purl.obolibrary.org/obo/PATO_0000001|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/SRPDIO_1000005|http://purl.obolibrary.org/obo/PATO_0000033|http://purl.obolibrary.org/obo/PATO_0002182|http://purl.obolibrary.org/obo/BFO_0000020
6,usgs,USGS,"36.4526,-109.1665",point,9/18/13,soil,wt. %,ca,{concentration of elemental calcium in soil},0.37,http://purl.obolibrary.org/obo/SRPDIO_1000055|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/PATO_0002182|http://purl.obolibrary.org/obo/SRPDIO_1000009|http://purl.obolibrary.org/obo/PATO_0000001|http://purl.obolibrary.org/obo/BFO_0000019|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/PATO_0000033|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/PATO_0001241
7,waterquality,USGS Arizona Water Science Center,"35.13658330000000,-112.5417222000000",point,6/25/18,water,mg/l,Calcium,{concentration of elemental calcium in liquid water},151.0,http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/PATO_0000001|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/SRPDIO_1000101|http://purl.obolibrary.org/obo/PATO_0001241|http://purl.obolibrary.org/obo/PATO_0000033|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/SRPDIO_1000009|http://purl.obolibrary.org/obo/BFO_0000019|http://purl.obolibrary.org/obo/PATO_0002182
8,waterquality,USGS Arizona Water Science Center,"34.53863606000000,-111.6940356000000",point,7/19/18,water,mg/l,Magnesium,{concentration of elemental magnesium in liquid water},22.6,http://purl.obolibrary.org/obo/BFO_0000019|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/PATO_0002182|http://purl.obolibrary.org/obo/PATO_0001241|http://purl.obolibrary.org/obo/PATO_0000033|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/PATO_0000001|http://purl.obolibrary.org/obo/SRPDIO_1000021|http://purl.obolibrary.org/obo/SRPDIO_1000113
9,waterquality,USGS Arizona Water Science Center,"34.85224160000000,-112.0659940000000",point,8/14/18,water,mg/l,Sodium,{concentration of elemental sodium in liquid water},24.1,http://purl.obolibrary.org/obo/PATO_0001241|http://purl.obolibrary.org/obo/PATO_0000033|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000019|http://purl.obolibrary.org/obo/SRPDIO_1000033|http://purl.obolibrary.org/obo/SRPDIO_1000125|http://purl.obolibrary.org/obo/PATO_0002182|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/PATO_0000001|http://purl.obolibrary.org/obo/BFO_0000002
10,waterquality,USGS Arizona Water Science Center,"34.85224160000000,-112.0659940000000",point,8/14/18,water,ug/l,Lead,{concentration of elemental lead in liquid water},3.33,http://purl.obolibrary.org/obo/PATO_0000001|http://purl.obolibrary.org/obo/PATO_0000033|http://purl.obolibrary.org/obo/SRPDIO_1000111|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/SRPDIO_1000019|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/PATO_0001241|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/PATO_0002182|http://purl.obolibrary.org/obo/BFO_0000019
11,waterquality,USGS Arizona Water Science Center,"34.85224160000000,-112.0659940000000",point,8/14/18,water,ug/l,Manganese,{concentration of elemental manganese in liquid water},84.0,http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/PATO_0002182|http://purl.obolibrary.org/obo/BFO_0000019|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/SRPDIO_1000022|http://purl.obolibrary.org/obo/SRPDIO_1000114|http://purl.obolibrary.org/obo/PATO_0001241|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/PATO_0000001|http://purl.obolibrary.org/obo/PATO_0000033
12,waterquality,USGS Arizona Water Science Center,"35.13658330000000,-112.5417222000000",point,6/25/18,water,ug/l,Strontium,{concentration of elemental strontium in liquid water},600.0,http://purl.obolibrary.org/obo/PATO_0001241|http://purl.obolibrary.org/obo/BFO_0000019|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/PATO_0002182|http://purl.obolibrary.org/obo/PATO_0000001|http://purl.obolibrary.org/obo/PATO_0000033|http://purl.obolibrary.org/obo/SRPDIO_1000034|http://purl.obolibrary.org/obo/SRPDIO_1000126|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/BFO_0000020
13,waterquality,USGS Arizona Water Science Center,"34.85224160000000,-112.0659940000000",point,8/14/18,water,ug/l,Zinc,{concentration of elemental zinc in liquid water},9.0,http://purl.obolibrary.org/obo/PATO_0001241|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/SRPDIO_1000137|http://purl.obolibrary.org/obo/BFO_0000019|http://purl.obolibrary.org/obo/SRPDIO_1000045|http://purl.obolibrary.org/obo/PATO_0000001|http://purl.obolibrary.org/obo/PATO_0000033|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/PATO_0002182|http://purl.obolibrary.org/obo/BFO_0000020
14,waterquality,USGS Arizona Water Science Center,"34.85224160000000,-112.0659940000000",point,8/14/18,water,ug/l,Mercury,{concentration of elemental mercury in liquid water},0.007,http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/PATO_0000033|http://purl.obolibrary.org/obo/PATO_0001241|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/SRPDIO_1000115|http://purl.obolibrary.org/obo/PATO_0002182|http://purl.obolibrary.org/obo/BFO_0000019|http://purl.obolibrary.org/obo/PATO_0000001|http://purl.obolibrary.org/obo/SRPDIO_1000023
